artist,artist_code,title,title_code,rank,date,hour,site
BIGBANG,198094,꽃 길,30948698,1,2018-03-18,04,melon
마마무,750053,별이 빛나는 밤,30937275,2,2018-03-18,04,melon
iKON,895741,사랑을 했다 (LOVE SCENARIO),30859584,3,2018-03-18,04,melon
헤이즈 (Heize),751611,Jenga (Feat. Gaeko),30939452,4,2018-03-18,04,melon
Wanna One (워너원),1865973,약속해요 (I.P.U.),30930312,5,2018-03-18,04,melon
장덕철,829211,그날처럼,30755375,6,2018-03-18,04,melon
로이킴,699632,그때 헤어지면 돼,30884950,7,2018-03-18,04,melon
Wanna One (워너원),1865973,Beautiful,30725482,8,2018-03-18,04,melon
모모랜드 (MOMOLAND),1221596,뿜뿜,30816860,9,2018-03-18,04,melon
Wanna One (워너원),1865973,에너제틱 (Energetic),30568338,10,2018-03-18,04,melon
헤이즈 (Heize),751611,내가 더 나빠,30939454,11,2018-03-18,04,melon
"배연서 (WEBSTER B), 오담률 (CHIN CHILLA)",2111771,북 (Prod. SLO),30957524,12,2018-03-18,04,melon
GOT7 (갓세븐),751059,Look,30945696,13,2018-03-18,04,melon
Red Velvet (레드벨벳),780066,Bad Boy,30864993,14,2018-03-18,04,melon
이수 (엠씨 더 맥스),214784,My Way,30721801,15,2018-03-18,04,melon
Wanna One (워너원),1865973,갖고 싶어,30725483,16,2018-03-18,04,melon
문문 (MoonMoon),927668,비행운,30086173,17,2018-03-18,04,melon
Fitz & The Tantrums,750471,HandClap,8111603,18,2018-03-18,04,melon
EXO,724619,Universe,30806536,19,2018-03-18,04,melon
멜로망스,839732,선물,30514366,20,2018-03-18,04,melon
청하,968265,Roller Coaster,30844118,21,2018-03-18,04,melon
정승환,792091,눈사람,30877002,22,2018-03-18,04,melon
비투비,647971,그리워하다,30672529,23,2018-03-18,04,melon
Wanna One (워너원),1865973,Twilight,30725484,24,2018-03-18,04,melon
GOT7 (갓세븐),751059,너 하나만 (Feat. 효린),30923843,25,2018-03-18,04,melon
Camila Cabello,928017,Havana (Feat. Young Thug),30567963,26,2018-03-18,04,melon
DEAN,880630,instagram,30806580,27,2018-03-18,04,melon
길구봉구,500421,이 별,30637776,28,2018-03-18,04,melon
헤이즈 (Heize),751611,괜찮냐고,30939453,29,2018-03-18,04,melon
방탄소년단,672375,DNA,30637982,30,2018-03-18,04,melon
멜로망스,839732,You,30849733,31,2018-03-18,04,melon
Wanna One (워너원),1865973,Nothing Without You (Intro.),30725481,32,2018-03-18,04,melon
펀치 (Punch),749640,밤이 되니까,30659630,33,2018-03-18,04,melon
먼데이 키즈,175155,가을 안부,30669593,34,2018-03-18,04,melon
세븐틴,861436,고맙다,30878838,35,2018-03-18,04,melon
